Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Label
-0.922124,-1.066381,-0.801613,-0.956933,-0.826944,-0.498077,-1.396794,-1.025066,1.00141,-0.567839,-0.623821,-0.595819,-0.493074,-0.442627,-0.35127,-0.30872,-0.322043,0.422804,-0.587486,-0.665059,-0.608003,-0.520738,-0.248063,-0.165732,-0.35311,-0.387094,Mitochondria
-0.921715,-1.030659,-1.237045,-1.30525,-1.783698,-2.031688,-2.167918,-2.201642,1.978912,-0.556347,-0.622326,-0.613596,-0.737338,-0.975333,-1.048718,-1.000945,-1.010983,0.950462,-0.1562,-0.037302,0.208315,0.032261,-0.086918,0.022223,0.30065,0.36891,Peroxisomes
-0.921324,-1.054571,-0.930748,-0.920638,-0.730024,-0.450253,-0.859638,-0.962892,0.872356,-0.484191,-0.460732,-0.513079,-0.443645,-0.30309,-0.282031,-0.445737,-0.469107,0.428538,-0.572603,-0.599554,-0.726062,-0.728024,-0.687569,-0.815784,-1.144859,-1.246838,Mitochondria
-0.920449,-0.458693,-0.731269,0.101501,0.728302,1.048068,0.071223,0.091788,-0.309957,-0.471361,-0.469386,-0.482775,0.394064,0.848168,1.044,0.354971,0.321486,-0.415783,-0.510655,-0.523544,-0.567808,0.508657,1.021861,1.291822,0.552321,0.488196,Late_Endosomes
-0.920318,-1.043663,-1.140668,-0.932913,-0.654681,-0.540594,-0.478541,-0.474389,0.725703,-0.614581,-0.474675,-0.716592,-0.764176,-1.121207,-1.098646,-0.892812,-0.900516,0.938199,-0.609968,-0.398876,-0.697457,-0.6041,-0.599623,-0.374165,-0.153416,-0.240179,Mitochondria
-0.914734,-0.877673,-0.744942,-0.529266,-0.334315,-0.17488,-0.109823,-0.29951,0.387701,-0.512115,-0.458864,-0.542638,-0.508138,-0.241107,-0.207155,-0.299747,-0.374406,0.367144,-0.607266,-0.605049,-0.774093,-0.840213,-0.745013,-0.885647,-1.103183,-1.254496,Mitochondria
-0.90925,-0.884549,-0.912223,-0.754034,-0.313307,-0.217541,-0.493174,-0.543343,0.556503,-0.334432,-0.396644,-0.268333,-0.207007,0.236481,0.576963,0.08897,0.095076,-0.093084,-0.403127,-0.526361,-0.452269,-0.445287,-0.108527,-0.068669,-0.590861,-0.635194,Mitochondria
-0.905078,-0.674143,-0.429956,-0.40837,-0.147814,0.2202,-0.268657,-0.320073,0.246814,-0.319234,-0.248287,-0.171744,-0.255098,0.005013,0.004805,-0.03599,0.002869,0.073952,-0.417488,-0.402293,-0.417162,-0.589936,-0.559922,-0.751546,-0.997157,-1.009801,Mitochondria
-0.897862,-1.208255,-0.927803,-1.005384,-0.789475,-0.68993,-1.085193,-1.006557,1.002019,-0.408437,-0.420266,-0.427026,-0.473214,-0.441458,-0.426559,-0.424334,-0.496052,0.468214,-0.501129,-0.571714,-0.657243,-0.789063,-0.916483,-1.066349,-1.247728,-1.386847,Mitochondria
-0.897453,-0.522213,-0.033174,0.41077,0.86171,1.333734,0.492449,0.24334,-0.596136,-0.467232,-0.301278,-0.285089,0.497615,1.19006,1.171915,0.53185,0.538097,-0.611559,-0.504317,-0.286482,-0.342596,0.62105,1.28458,1.07653,0.528315,0.432159,Late_Endosomes
-0.894278,-0.701834,-0.868025,-0.86185,-0.466001,-0.502703,-0.539801,-0.493031,0.648713,-0.419436,-0.355074,-0.415971,-0.392514,-0.362001,-0.331538,-0.369925,-0.442368,0.403219,-0.524686,-0.520084,-0.652007,-0.73927,-0.917609,-1.068502,-1.233401,-1.422521,Mitochondria
-0.873196,-0.610367,-0.507923,-0.616729,-0.456407,-0.177324,0.159463,0.250166,0.23134,-0.656419,-0.791482,-0.946915,-1.065118,-1.143562,-1.145075,-1.386621,-1.452038,1.251537,-0.759517,-0.954103,-1.192054,-1.406993,-1.546932,-1.590642,-1.939132,-2.069423,Actin
-0.872363,-0.559053,-0.539633,-1.020449,-1.066447,-0.918933,-0.775373,-0.920399,0.976866,-0.587117,-0.582931,-0.589527,-0.735798,-0.533703,-0.309206,-0.389554,-0.597394,0.540968,-0.523213,-0.400667,-0.358348,-0.483599,0.109259,0.253049,0.150006,0.032201,Microtubules
-0.872025,-0.430871,-0.475212,-1.162978,-1.250566,-1.069645,-1.119675,-1.24829,1.183689,-0.57048,-0.439529,-0.433833,-0.517804,-0.196488,0.126475,-0.009124,-0.168424,0.193073,-0.432289,-0.064921,0.149396,0.225043,1.151478,1.444567,1.075711,0.984026,Microtubules
-0.868229,-1.057321,-0.971505,-0.435976,-0.157183,0.116938,-0.729489,-0.852247,0.522167,0.578107,0.434164,0.504662,0.24832,0.133164,0.058014,0.310324,0.456199,-0.315342,0.538038,0.336923,0.404135,0.107833,-0.125393,-0.158222,0.018619,-0.020962,Lysosome
-0.859151,-0.058299,-0.641521,0.156758,0.507477,0.55464,0.34986,-0.145412,-0.193033,-0.232562,-0.12245,-0.025595,0.464512,0.839055,0.716429,0.655676,0.585279,-0.551724,-0.267984,-0.182139,-0.119415,0.472989,0.785544,0.737682,0.58403,0.454795,Late_Endosomes
-0.84916,-0.834617,-0.771867,-1.170689,-1.230525,-1.363358,-1.390034,-1.644869,1.414305,-0.576695,-0.597802,-0.614633,-0.773078,-0.468408,-0.237222,-0.454121,-0.610109,0.541063,-0.496642,-0.499809,-0.43539,-0.549922,-0.022353,0.162382,-0.172814,-0.325847,Microtubules
-0.848694,-1.157282,-0.831944,-1.009226,-0.935945,-1.253872,-1.109439,-1.018949,1.148248,-0.210553,-0.372336,-0.331359,-0.451263,-0.577367,-0.725456,-0.579877,-0.660093,0.588512,-0.22713,-0.409773,-0.402194,-0.509569,-0.587899,-0.759225,-0.834553,-0.926385,Mitochondria
